execution_timestamp	kpi	value
20240522_202413	Yksilön aikavälin keskikoko	83.286
20240523_161806	Viestin aikaväliennuste väärin	0.072
20240523_161806	Yksilöennusteen keskivirhe	14.567
20240523_161806	Yksilön aikaväliennuste väärin	0.039
20240523_161806	Yksilön aikavälin keskikoko	84.96
20240523_204359	Viestin aikaväliennuste väärin	0.174
20240523_204359	Yksilöennusteen keskivirhe	18.609
20240523_204359	Yksilön aikaväliennuste väärin	0.076
20240523_204359	Yksilön aikavälin keskikoko	84.882
20240524_034047	Viestin aikaväliennuste väärin	0.069
20240524_034047	Yksilöennusteen keskivirhe	14.478
20240524_034047	Yksilön aikaväliennuste väärin	0.038
20240524_034047	Yksilön aikavälin keskikoko	85.476
20240524_065044	Viestin aikaväliennuste väärin	0.069
20240524_065044	Yksilöennusteen keskivirhe	14.478
20240524_065044	Yksilön aikaväliennuste väärin	0.039
20240524_065044	Yksilön aikavälin keskikoko	84.84
20240528_025756	Viestin aikaväliennuste väärin	0.237
20240528_025756	Yksilöennusteen keskivirhe	17.11
20240528_025756	Yksilön aikaväliennuste väärin	0.119
20240528_025756	Yksilön aikavälin keskikoko	63.677
20240528_034433	Viestin aikaväliennuste väärin	0.222
20240528_034433	Yksilöennusteen keskivirhe	16.642
20240528_034433	Yksilön aikaväliennuste väärin	0.113
20240528_034433	Yksilön aikavälin keskikoko	63.633
20240529_023602	Viestin aikaväliennuste väärin	0.148
20240529_023602	Yksilöennusteen keskivirhe	15.629
20240529_023602	Yksilön aikaväliennuste väärin	0.074
20240529_023602	Yksilön aikavälin keskikoko	70.862
20240529_141835	Viestin aikaväliennuste väärin	0.137
20240529_141835	Yksilöennusteen keskivirhe	15.879
20240529_141835	Yksilön aikaväliennuste väärin	0.064
20240529_141835	Yksilön aikavälin keskikoko	77.051
20240530_035101	Viestin aikaväliennuste väärin	0.137
20240530_035101	Yksilöennusteen keskivirhe	15.622
20240530_035101	Yksilön aikaväliennuste väärin	0.068
20240530_035101	Yksilön aikavälin keskikoko	74.258
20240531_032226	Viestin aikaväliennuste väärin	0.134
20240531_032226	Yksilöennusteen keskivirhe	15.612
20240531_032226	Yksilön aikaväliennuste väärin	0.067
20240531_032226	Yksilön aikavälin keskikoko	74.767
20240531_033348	Viestin aikaväliennuste väärin	0.075
20240531_033348	Yksilöennusteen keskivirhe	15.142
20240531_033348	Yksilön aikaväliennuste väärin	0.034
20240531_033348	Yksilön aikavälin keskikoko	87.274
20240531_142141	Viestin aikaväliennuste väärin	0.074
20240531_142141	Yksilöennusteen keskivirhe	15.11
20240531_142141	Yksilön aikaväliennuste väärin	0.034
20240531_142141	Yksilön aikavälin keskikoko	87.725
20240531_200544	Viestin aikaväliennuste väärin	0.074
20240531_200544	Yksilöennusteen keskivirhe	15.116
20240531_200544	Yksilön aikaväliennuste väärin	0.033
20240531_200544	Yksilön aikavälin keskikoko	87.679
20240602_113538	Viestin aikaväliennuste väärin	0.079
20240602_113538	Yksilöennusteen keskivirhe	15.314
20240602_113538	Yksilön aikaväliennuste väärin	0.035
20240602_113538	Yksilön aikavälin keskikoko	87.101
20240603_145300	Viestin aikaväliennuste väärin	0.079
20240603_145300	Yksilöennusteen keskivirhe	15.274
20240603_145300	Yksilön aikaväliennuste väärin	0.035
20240603_145300	Yksilön aikavälin keskikoko	87.111
20240604_133616	Viestin aikaväliennuste väärin	0.074
20240604_133616	Yksilöennusteen keskivirhe	15.086
20240604_133616	Yksilön aikaväliennuste väärin	0.033
20240604_133616	Yksilön aikavälin keskikoko	87.405
20240604_142723	Viestin aikaväliennuste väärin	0.111
20240604_142723	Yksilöennusteen keskivirhe	15.086
20240604_142723	Yksilön aikaväliennuste väärin	0.053
20240604_142723	Yksilön aikavälin keskikoko	76.929
20240604_182112	Viestin aikaväliennuste väärin	0.087
20240604_182112	Yksilöennusteen keskivirhe	15.108
20240604_182112	Yksilön aikaväliennuste väärin	0.037
20240604_182112	Yksilön aikavälin keskikoko	84.906
20240605_043719	Viestin aikaväliennuste väärin	0.084
20240605_043719	Yksilöennusteen keskivirhe	14.88
20240605_043719	Yksilön aikaväliennuste väärin	0.036
20240605_043719	Yksilön aikavälin keskikoko	82.874
20240605_045855	Viestin aikaväliennuste väärin	0.115
20240605_045855	Yksilöennusteen keskivirhe	14.88
20240605_045855	Yksilön aikaväliennuste väärin	0.053
20240605_045855	Yksilön aikavälin keskikoko	73.715
20240606_043121	Viestin aikaväliennuste väärin	0.119
20240606_043121	Yksilöennusteen keskivirhe	15.3
20240606_043121	Yksilön aikaväliennuste väärin	0.055
20240606_043121	Yksilön aikavälin keskikoko	76.248
20240606_053546	Viestin aikaväliennuste väärin	0.119
20240606_053546	Yksilöennusteen keskivirhe	15.3
20240606_053546	Yksilön aikaväliennuste väärin	0.055
